"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Ürün(ler)"
"%s and above","%s ve aşağısı"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopya Veri Kaynağı: %s)"
"* Required Fields","* Zorunlu Alanlar"
"-- Please Select --","-- Lütfen Seçiniz --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Eğer ayarlanmamışsa, varsayılan değer 86400 olacaktır. Anında tazelemek istiyorsanız, Blok HTML Ön Belleğini çalıştırınız."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Dikkat!</strong> Varsayılan eşleşmeyi uygularsanız müşteri tarafındaki tüm fiyatlar görünmez hale gelecektir."
"A group with the same name already exists.","Aynı isme sahip bir grup zaten var."
"A name is required","Ad zorunludur."
"A product type is not defined for the indexer.","İndeks için bir ürün tipi belirlenmedi."
"ALL GROUPS","TÜM GRUPLAR"
"AM","Öğleden Önce"
"Action","İşlem"
"Actual Price","Güncel Fiyat"
"Add","Ekle"
"Add Attribute","Özellik Ekle"
"Add Design Change","Tasarım Değişikliği Ekle"
"Add Group","Grup Ekle"
"Add Group Price","Grup Fiyatı Ekle"
"Add New","Yeni Ekle"
"Add New Attribute","Yeni Özellik Ekle"
"Add New Attribute Set","Yeni Özellik Seti Ekle"
"Add New Group","Yeni Grup Ekle"
"Add New Images","Yeni Resimler Ekle"
"Add New Option","Yeni Seçenek Ekle"
"Add New Row","Yeni Satır Ekle"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
"Add New Set","Yeni Set Ekle"
"Add Product","Ürün Ekle"
"Add Product To Websites","Websitelerine Ürün Ekle"
"Add Root Category","Ana Kategori Ekle"
"Add Subcategory","Alt Kategori Ekle"
"Add Tax","Vergi Ekle"
"Add Tier","Kanal Ekle"
"Add attribute into attribute set","Özellik setine özellik ekle"
"Add group into attribute set","Özellik setine grup ekle"
"Add new custom option into product","Ürüne özel seçenek ekle"
"Add new values into custom option","Özel seçeneklere yeni değer ekle"
"Add option","Seçenek Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Additional Information","Ek Bilgi"
"Alert Urls","Alarm URL leri"
"All","Tümü"
"All Product Types","Tüm Ürün Tipleri"
"All Websites","Tüm Websiteler"
"All products","Tüm ürünler"
"All products - recently added products, New products - products marked as new","Tüm ürünler - henüz eklenmiş ürünler, Yeni ürünler - yeni olarak işaretlenmiş ürünler"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Bu sete ait tüm ürünler silinmiş olacaktır! Bu özellik setini silmek istediğinizden emin misiniz?"
"Allow All Products per Page","Her sayfada 'Tüm Ürünler' bağlantısını göster"
"Allow Dynamic Media URLs in Products and Categories","Ürün ve Kategoriler için dinamik medya URL'lerine izin ver"
"Allow HTML Tags on Frontend","Ön Sayfada HTML Etiketlerine İzin ver"
"Allowed File Extensions","İzin Verilen Dosya Uzantıları"
"Allowed file extensions to upload","Dosya yüklemede Izin Verilen Dosya Uzantıları"
"An error occurred while adding products to websites.","Websitelerine ürünler eklenirken bir hata meydana geldi."
"An error occurred while clearing comparison list.","Karşılaştırma listesi temizlenirken bir hata meydana geldi."
"An error occurred while deleting this review.","Yorum silinirken bir hata meydana geldi."
"An error occurred while removing products from websites.","Websitelerinden ürün silerken bir hata meydana geldi."
"An error occurred while saving the URL rewrite","URL yeniden yazım kaydedilirken bir hata meydana geldi"
"An error occurred while saving the attribute set.","Özellik seti kaydedilirken bir hata meydana geldi."
"An error occurred while saving the collection, aborting. Error message: %s","Koleksiyon kaydedilirken bir hata meydana geldi, işleme son veriliyor. Hata mesajı: %s"
"An error occurred while saving the product. ","Ürün kaydedilirken bir hata meydana geldi."
"An error occurred while saving the search query.","Arama sorgusu kaydedilirken bir hata meydana geldi."
"An error occurred while saving this group.","Bu grubu kaydederken bir hata meydana geldi."
"An error occurred while saving this review.","Bu yorum kaydedilirken bir hata meydana geldi."
"An error occurred while trying to delete the category.","Kategori silinirken bir hata meydana geldi"
"An error occurred while updating the product(s) attributes.","Ürünlerin özellikleri güncellenirken hata meydana geldi."
"An error occurred while updating the product(s) status.","Ürünlerin durumu güncellenirken hata meydana geldi."
"An invalid group ID is specified, skipping the record.","Hatalı grup numarası, kayıt atlanıyor."
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s) için hatalı seçenek no belirlendi, kayıt atlanıyor."
"An invalid store was specified.","Hatalı mağaza tanımlandı"
"Anchor Custom Text","Bağlantı Özel Yazı"
"Anchor Custom Title","Bağlantı Özel Başlığı"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Sadece katalog ürünlerine ve kategorilerine kullanılabilir. Medya içerikleri editöre statik bir URL olarak girilir. Mağaza adresi değiştiğinde bu adresler değişmeyecektir."
"Apply MAP (Default Value)","MAP Uygula (Varsayılan Değer)"
"Apply To","Uygula"
"Approved","Onaylandı"
"Are you sure you want to delete this category?","Bu kategoriyi silmek istediğinizden emin misiniz?"
"Are you sure you would like to remove all products from your comparison?","Karşılaştırma listenizden tüm ürünleri silmek istediğinizden emin misiniz?"
"Are you sure you would like to remove this item from the compare products?","Karşılaştırılan ürünler içinden bu ürünü silmek istediğinizden emin misiniz?"
"Are you sure?","Emin misiniz?"
"As low as:","En düşük:"
"Assign","Ata"
"Assign product link","Ürün linki ata"
"Assign product to category","Ürünü kategoriye ata"
"Assigned Products","Atanmış Ürünler"
"Associated Products","Bağlanmış Ürünler"
"Attrib. Set Name","Özellik Seti Adı"
"Attribute ""%s"" is invalid.","Özellik ""%s"" geçersizdir."
"Attribute ""%s"" is required.","Özellik ""%s"" zorunludur."
"Attribute Information","Özellik Bilgisi"
"Attribute Model","Ürün Özellik Modeli"
"Attribute Name:","Özellik Adı:"
"Attribute Set","Özellik Seti"
"Attribute Sets","Özellik Setleri"
"Attribute add","Özellik Ekle"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Özellik kodu hatalı. Lütfen bu alanda sadece harfler (a-z), rakamlar (0-9) veya alt çizgi (_) kullanınız, ilk karakter sadece harf olabilir."
"Attribute group with the \""/name/\"" name already exists","\""/name/\"" adında bir özellik grubu zaten var"
"Attribute remove","Özellik Sil"
"Attribute with the same code already exists","Aynı kodu kullanan bir özellik zaten var"
"Attributes","Özellikler"
"Attrribute names can be specified per store.","Özellik adları her mağaza için ayrı belirtilmelidir."
"Autogenerate","Otomatik Oluştur"
"Availability:","Durumu:"
"Back","Geri"
"Backend Model","Arka Uç Modeli"
"Backend Table","Arka Uç Tablosu"
"Backend Table Title","Arka Uç Tablo Başlığı"
"Backorders","Ön Siparişler"
"Based On","Dayalı"
"Before Order Confirmation","Sipariş Onayından Önce"
"Best Value","En iyi Değer"
"Block after Info Column","Bilgi kolonundan sonra Blok"
"Bottom Block Options Wrapper","Alt Blok Seçenek Kutusu"
"Bottom/Left","Alt/Sol"
"Bottom/Right","Alt/Sağ"
"Browse By","Gözat"
"Bundle Items","Birleştirilmiş Ürünler"
"Buy %1$s","%1$s Satın Al"
"Buy %1$s for","için %1$s Satın Al"
"Buy %1$s for %2$s","%2$s için %1$s Satın Al"
"Buy %1$s for %2$s (%3$s incl. tax) each","Her bir %2$s (%3$s vergi dahil) için  %1$s Satın Al"
"Buy %1$s for %2$s each","Her bir %2$s için %1$s Satın al"
"Cache Lifetime (Seconds)","Ön Bellek Ömrü (Saniye)"
"Cache refresh needed.","Ön Belleğin yenilenmesi gerekmektedir."
"Can be Divided into Multiple Boxes for Shipping","Teslimat birden fazlaya bölünebilir"
"Can be used only with catalog input type Dropdown","Sadece katalog girişi tipindeki açılır menü ile kullanılır"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sadece katalog girişi tipindeki açılır menüde, çoklu seçimde ve fiyatta kullanılabilir"
"Can\'t create image.","Resim oluşturulamıyor."
"Cancel","İptal"
"Cannot create image.","Resim oluşturulamadı."
"Cannot create writeable directory '%s'.","'%s' klasörü yazdırılabilir olarak oluşturulamadı."
"Cart Item Attribute","Sepetteki ürün özelliği"
"Catalog","Katalog"
"Catalog Category (Anchor)","Katalog Kategorisi (Bağlantı)"
"Catalog Category (Non-Anchor)","Katalog Kategorisi (Bağlantı olmayan)"
"Catalog Category (Without Subcategories)","Kategori (Alt Kategorileri Hariç)"
"Catalog Category Link","Katalog Kategorisi Bağlantısı"
"Catalog New Products List","Katalog Yeni Ürünler Listesi"
"Catalog Price Scope","Katalog Fiyat Kapsamı"
"Catalog Product Compare List","Katalog Karşılaştırılan Ürünler Listesi"
"Catalog Product Email to a Friend","Katalog Ürünü Arkadaşına Tavsiye Et"
"Catalog Product Image Gallery Popup","Katalog Ürün Resim Galerisi Kutusu"
"Catalog Product Link","Katalog Ürün Bağlantısı"
"Catalog Product View (Any)","Katalog Ürün Detayı (Herhangi Bir Ürün Tipi)"
"Catalog Product View (Configurable)","Katalog Ürün Detayı(Ayarlanabilir Ürün)"
"Catalog Product View (Grouped)","Katalog Ürün Detayı(Grup Ürün)"
"Catalog Product View (Simple)","Katalog Ürün Detayı(Basit Ürün)"
"Catalog Product View (Virtual)","Katalog Ürün Detayı(Sanal Ürün)"
"Catalog Section","Katalog Bölümü"
"Catalog Seo Sitemap (Category List)","Katalog Seo Site Haritası  (Kategori Listesi)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Site Haritası  (Kategori Ağacı)"
"Catalog Seo Sitemap (Common)","Katalog Seo Site Haritası  (Genel)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Site Haritası  (Ürün Listesi)"
"Catalog URL Rewrites","Katalog Adres Yeniden Yazımı"
"Catalog product custom option values API","Ürün Özel Seçenek Değerleri API si"
"Catalog product custom options API","Ürün Özel Seçenekleri API si"
"Catalog, Search","Katalog, Arama"
"Categories","Kategoriler"
"Categories Sitemap","Kategorilerin Site Haritası"
"Category","0"
"Category API","Kategori API si"
"Category Data","Kategori Verisi"
"Category Flat Data","Kategori Sabit Tablosu "
"Category Link Block Template","Kategori Link Blok Şablonu"
"Category Link Inline Template","Kategori Link İnline Şablonu"
"Category Products","Kategori Ürünleri"
"Category Top Navigation","Kategori Üst Gezinme"
"Category URL Suffix","Kategori URL Soneki"
"Category attributes API","Kategori Özellikleri API si"
"Category move error","Kategori taşıma hatası"
"Category move error %s","Kategori taşıma hatası %s"
"Category move operation is not possible: parent category is equal to child category.","Kategori taşıma işlemi mümkün değil: üst kategori ile alt kategori aynı."
"Category move operation is not possible: the current category was not found.","Kategori taşıma işlemi mümkün değil: mevcut kategori bulunamadı."
"Category move operation is not possible: the new parent category was not found.","Kategori taşıma işlemi mümkün değil: yeni üst kategori bulunamadı."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori Mage_Catalog_Model_Category modelinin örneği olmalı."
"Center","Merkez"
"Change","Değiştir"
"Change or Retrieve attribute store view","Özellik Görünümünü Getir veya Değiştir"
"Change status","Durumu Değiştir"
"Check items to add to the cart or","Ürünleri seçip sepete ekleyiniz veya "
"Choose an Option...","Bir seçenek seçiniz..."
"Clear All","Hepsini Temizle"
"Clear Price","Net Fiyat"
"Click for price","Fiyat için tıklayınız"
"Close Window","Pencereyi Kapat"
"Collapse All","Hepsini Daralt"
"Comma-separated.","Virgülle ayrılmış."
"Comparable","Karşılaştırılabilir"
"Comparable on Front-end","Ön Sayfada Karşılaştırılabilir"
"Comparable on the Frontend","Ön Sayfada Karşılaştırılabilir"
"Compare","Karşılaştır"
"Compare Products","Ürünleri Karşılaştır"
"Conditions Combination","Koşullar listesi"
"Configurable Product","Ayarlanabilir Ürün"
"Configurable Product Settings","Ayarlanabilir Ürün Ayarları"
"Configure Product","Ürünü Yapılandır"
"Continue","Devam et"
"Copy From Configurable","Ayarlanabilir Üründen Kopyala"
"Country/State","Ülke/Eyalet"
"Create","Oluştur"
"Create (Upload)","Oluştur (Yükle)"
"Create Empty","Boş Oluştur"
"Create Permanent Redirect for URLs if URL Key Changed","URL anahtarı değişince, URL ler için kalıcı yönlendirme oluştur"
"Create Permanent Redirect for old URL","Eski URL için yönlendirme kaydı ekle"
"Create Product Settings","Ürün Ayarları Oluştur"
"Create Simple Associated Product","Basit İlişkili Ürün Oluştur"
"Create attribute set based on another set","Başka bir özellik setinden yeni bir özellik seti oluştur"
"Create new attribute","Yeni Ürün Özellik Oluştur"
"Create new category","Yeni kategori Ekle"
"Create new product","Yeni Ürün Ekle"
"Cross-sells","Çapraz Satış"
"Currently Shopping by:","Mevcut Alışveriş:"
"Custom Design","Özel Tasarım"
"Custom Options","Özel Seçenekler"
"Custom options","Özel Seçenekler"
"Customer Group","Müşteri Grubu"
"Customers Reviews","Müşterilerin Yorumları"
"Customers Tagged Product","Müşterilerin Etiketlediği Ürün"
"Data Type for Saving in Database","Veritabanına kaydederken kullanılacak veri tipi"
"Date & Time Custom Options","Tarih & Saat Özel Seçenekleri"
"Date Fields Order","Tarih Alanları Sıralaması"
"Date Subscribed","Üye Olunan Tarih"
"Datetime","Tarih-Saat"
"Decimal","Ondalık"
"Declare attribute value saving scope","Özellik değerinin kaydedileceği kapsamı belirtiniz"
"Default ""What's This"" Text Message","Varsayılan ""Bu Nedir"" Yazılı Mesajı"
"Default Popup Text Message","Varsayılan Açılır Pencere Mesajı"
"Default Price","Varsayılan fiyat"
"Default Price Navigation Step","Ana Fiyat Gezinme Adımı"
"Default Qty","Varsayılan Adet"
"Default Values","Varsayılan Değerler"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ana para birimi havuzunu ayarlar (""Para Birimleri"" > ""Para Birimi Seçenekleri"" > ""Ana para birimi"")."
"Delete","Sil"
"Delete Attribute","Özelliği Sil"
"Delete Attribute Set","Özellik Setini Sil"
"Delete Category","Kategori Sil"
"Delete Group Price","Grup Fiyatını Sil"
"Delete Option","Seçeneği Sil"
"Delete Row","Satır Sil"
"Delete Search","Aramayı Sil"
"Delete Selected Group","Seçilen Grubu Sil"
"Delete Tier","Katmanı Sil"
"Delete attribute","Özelliği Sil"
"Delete category","Kategori Sil"
"Delete product","Ürün Sil"
"Depends on design theme","Temaya Bağlı"
"Design","Tasarım"
"Details","Detaylar"
"Disabled","Kapalı"
"Disallowed file type.","İzin verilmeyen dosya tipi."
"Display Actual Price","Güncel Fiyatları Göster"
"Display Page Control","Sayfa Kontrolü Göster"
"Display Price Interval as One Price","Fiyat aralığını tek bir fiyat olarak göster"
"Display Product Count","Ürün Sayısını Göster"
"Display Type","Tipi Göster"
"Display in Suggested Terms","Tavsiye edilen kelimelerde göster"
"Double click on a group to rename it","Adını değiştirmek istediğiniz gruba tıklayınız"
"Double click on above image to view full picture","Tam boyutu görmek için yukarıdaki resme çift tıklayınız"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Duplicate","Çoğalt"
"Duplicate website group price customer group.","Websitesi grup fiyatı için müşteri grubunu çoğalt."
"Duplicate website tier price customer group and quantity.","Website Katmanlı fiyat Müşteri Grubu ve Miktarı Çoğalt"
"Duplicate website, country and state tax found.","Çift web sitesi, ülke ve bölge vergisi bulundu."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Örnek: {{media URL=""path/to/image.jpg""}} {{skin URL=""path/to/picture.gif""}}. Dinamik direktif ayrıştırma işlemi katalog performansını etkiler."
"Edit","Düzenle"
"Edit Attribute Set '%s'","Özellik Setini Düzenle '%s'"
"Edit Product Attribute","Ürün Özelliğini Düzenle"
"Edit Product Attribute ""%s""","Ürün Özelliğini Düzelt ""%s"""
"Edit Search","Aramayı Düzenle"
"Edit Search '%s'","Aramayı Düzenle '%s'"
"Edit Set Name","Set Adını Düzenle"
"Email","E-posta"
"Email to a Friend","Arkadaşına Gönder"
"Empty","Boş"
"Enable MAP","MAP Aktif et"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"Enable WYSIWYG","WYSIWYG Editörü Aç"
"Enable for reindexing a big number of SKUs.","Büyük numaralı ürün kodlarının yeniden indekslemesi için Aktif et"
"Enabled","Aktif edildi"
"Error during retrieval of option value: %s","Seçenek değeri alınırken hata meydana geldi: %s"
"Exclude","Hariç Tut"
"Expand All","Hepsini Genişlet"
"Failed","tamamlanamadı"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","%s adlı dosya kopyalama başarısız oldu. Varolmayan dosyaları içeren medyayı silip tekrar deneyiniz."
"Failed to move file: %s","Dosya taşınamadı: %s"
"Feature Products","Özel Ürünler"
"Field is not complete","Alan doldurulmadı"
"File options format is not valid.","Dosya seçenekleri biçimi geçersiz."
"File upload failed","Dosya yüklemede hata oluştu"
"Filter model name must be declared.","Filtre model adı belirlenmelidir."
"Filter must be an object. Please set correct filter.","Filtre bir nesne olmalıdır. Lütfen geçerli bir filtre ayarlayınız."
"Filterable (no results)","Filtrelenebilir (sonuçsuz)"
"Filterable (with results)","Filtrelenebilir (sonuçlu)"
"First Name","Adı:"
"Fixed","Sabit"
"For internal use.","İç kullanım içindir."
"For the last time placed.","Son eklendiğinde."
"Frontend","Ön Sayfa"
"Frontend Model","Ön Sayfa Modeli"
"Frontend Properties","Ön Sayfa Özellikleri"
"Gallery","Galeri"
"General Information","Genel Bilgi"
"Get full information about attribute with list of options","Seçenek listeleri ile özellik hakkındaki tüm bilgileri al"
"Get full information about custom option in product","Üründeki özel seçenekle ilgili bilgi al"
"Get list of available custom option types","Kullanılabilir özel seçenek tiplarini listele"
"Get list of non-default attributes by product type and attributes set","Varsayılan olmayan özelliklerin ( ürüne göre ) ve özellik setlerini listele"
"Get list of possible attribute types","Kullanılabilir özellik tiplerini listele"
"Get special price","Özel fiyatı al"
"Global","Global"
"Globally Editable","Global Düzenelenebilir"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Izgara"
"Group add","Grup Ekle"
"Group remove","Grup Sil"
"Grouped Product","Grup Ürünü"
"Groups","Gruplar"
"Home","Ana Sayfa"
"ID","No"
"ID: %s","No: %s"
"If empty, the Category Name will be used","Eğer boşsa, kategori adı kullanılacaktır."
"If empty, the Product Name will be used","Boş bırakırsanız ürün adı kullanılır"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Belirlenen mağaza için bir seçenek değeri tanımlanmamışsa, varsayılan (Yönetici) değeri kullanılacak."
"Image","Resim"
"Image content is not valid base64 data.","Resim içeriği geçerli base64 verisi değil."
"Image does not exist.","Resim bulunamıyor."
"Image file was not found.","Resim dosyası bulunamadı."
"Image type and information need to be specified for each store view.","Resim tipi ve bilgisi her mağaza için ayrı belirlenmeli."
"In Cart","Sepette"
"In Stock","stokta mevcut"
"In stock","stokta mevcut"
"Incl. Tax","Vergi Dahil"
"Index product and categories URL rewrites","Ürün ve Kategoriler için adres yeniden yazımı bilgisini indeksle"
"Index product attributes for layered navigation building","Katmanlı Gezinme için ürün özelliklerini indeksle"
"Index product prices","Ürün fiyatlarını indeksle"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Info","Bilgi"
"Info Column Options Wrapper","Bilgi Kolonu Seçenek Çerçevesi"
"Input Type","Giriş Tipi"
"Integer","Tamsayı"
"Interval Division Limit","Aralık Bölünme Limiti"
"Invalid Tier Prices","Hatalı Katman Fiyatları"
"Invalid attribute %s","Hatalı özellik %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","%s (%s) özellik için hatalı seçenek belirlendi, kayıt atlanıyor."
"Invalid attribute set specified, skipping the record.","Hatalı özellik seti tanımlandı, kayıt atlanıyor."
"Invalid block: %s.","Hatalı blok: %s."
"Invalid category IDs.","Geçersiz kategori no."
"Invalid category.","Hatalı kategori."
"Invalid image file type.","Hatalı resim dosyası tipi."
"Invalid image type.","Hatalı resim tipi."
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s) için hatalı seçenek no belirlendi, kayıt atlanıyor."
"Invalid product type specified, skipping the record.","Hatalı ürün tipi tanımlandı, kayıt atlanıyor."
"Invalid store specified","Hatalı mağaza tanımlandı"
"Invalid store specified, skipping the record.","Hatalı mağaza tanımlandı, kayıt atlanıyor."
"Invalid tier prices. The product is not associated to the requested website.","Hatalı katman fiyatları. Bu ürün istediğiniz mağaza ile ilişkili değil."
"Inventory","Envanter"
"Is Default","Varsayılan"
"Is Required","Zorunlu"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda ve aramada görünmesini istemediğiniz ürünlerin durumu 'Pasif' olmalıdır."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda ve aramada görünmesini istemediğiniz ürünlerin durumu 'Pasif' olmalıdır."
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Label","Etiket"
"Last Name","Soyadı"
"Last Notification","Son Bildirim"
"Layered Navigation","Katmanlı Gezinme"
"Learn More","Daha fazla bilgi"
"Line %d, Email: %s","Satır %d, E-posta: %s"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Link (Related, Up sell, Cross sell)","Bağlantı (İlişkili, Üst Satış, Çapraz Satış)"
"Link product does not exist.","Bağlı ürün bulunamıyor."
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"List","Liste"
"List Mode","Liste Tipi"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"List of types","Tipleri listele"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"Manage Label / Options","Etiket / Seçenek Yönetimi"
"Manage Options (values of your attribute)","Seçenekleri Yönet (özelliğindeki değerler)"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Products","Ürünleri Yönet"
"Manage Stock","Stok Yönetimi"
"Manage Titles (Size, Color, etc.)","Etiketleri Yönet (Boyut, Renk vb...)"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek Derinlik"
"Maximum Image Size","En yüksek Resim Boyutu"
"Maximum Number of Price Intervals","En yüksek Fiyat Aralık Sayısı"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Maximum allowed image size for '%s' is %sx%s px.","'%s' için izin verilen maksimum resim boyutu %sx%s px."
"Maximum image height","En fazla resim yüksekliği"
"Maximum image width","En fazla resim genişliği"
"Maximum number of characters:","En fazla karakter sayısı:"
"Maximum number of price intervals is 100","En yüksek Fiyat Aralık Sayısı 100 dür"
"Media Image","Resim"
"Minimum Advertised Price","Minimum Reklam Ücreti"
"Minimum Lines per Page","Sayfa Başına En düşük Satır sayısı"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"Minimum Qty for Item\'s Status to be Out of Stock","Ürünün Stokta Yok olarak gözükmesi için gereken minimum adet"
"Missing SKU, skipping the record.","SKU bilgisi bulunamadı, kayıt atlanıyor."
"More Views","Diğer Görünümler"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Must be in the allowed values list.","İzin verilen değerler listesinde olmalıdır."
"N/A","Mevcut Değil"
"Name","Adı"
"Name in %s","%s deki Adı"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"New Products Grid Template","Yeni Ürünler Izgara Görünümü"
