"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%'  çok uzun.  %min% karakter uzunluğunda olmalıdır."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%'  çok kısa.  %min% karakter uzunluğunda olmalıdır."
"* Required Fields","* Zorunlu Alanlar"
"<strong>%s</strong> requests access to your account","Hesabına <strong>%s</strong> girişler istendi."
"Admin","Yönetim"
"After authorization application will have access to you account.","Yetkilendirme uygulamasından sonra hesabınıza giriş yapmalısınız."
"An error occurred on confirm authorize.","Yetkilendirme onayı esnasında bir hata meydana geldi."
"An error occurred on delete action.","Silme işlemi esnasında bir hata meydana geldi."
"An error occurred on delete application.","Uygulama silinirken bir hata meydana geldi."
"An error occurred on reject authorize.","Proziyon iptali esnasında bir hata meydana geldi."
"An error occurred on saving consumer data.","Alıcı datası kaydedilirken bir hata meydana geldi."
"An error occurred on update revoke status.","geri alma durumu güncellemesi esnasında bir hata meydana geldi."
"An error occurred while deleting the consumer.","Alıcı silinirken bir hata meydana geldi."
"An error occurred.","Bir hata meydana geldi."
"An error occurred. Your authorization request is invalid.","Bir hata meydana geldi. Yetkilendirme talebiniz geçersizdir."
"App Name","Uygulama Adı"
"Application ""%s"" has been deleted.","""%s"" uygulama silindi."
"Application ""%s"" has been enabled.","""%s"" uygulama aktif edildi."
"Application ""%s"" has been revoked.","""%s"" uygulama geri alındı."
"Application Name","Uygulama Adı"
"Application not found.","Uygulama bulunamadı."
"Are you sure you want to delete this application?","Bu uygulamayı silmek istediğinizden emin misiniz?"
"Are you sure you want to disable this application?","Bu uygulamayı kapatmak istediğinizden emin misiniz?"
"Are you sure you want to enable this application?","Bu uygulamayı aktif etmek istediğinizden emin misiniz?"
"Authorization confirmed","Yetki doğrulandı"
"Authorization confirmed.","Yetki onaylandı."
"Authorize","Yetkilendir"
"Authorize application","Uygulamayı yetkilendir"
"Authorized Tokens","Yetkilendirilmiş Anahtarlar"
"Callback URL","Geri Dönüş URL"
"Cleanup Probability","Temizlik Olasılığı"
"Cleanup Settings","Temizlik Ayarlar"
"Close","Kapat"
"Confirm OAuth token authorization","OAuth anahtar yetkilendirmesini onayla"
"Confirm token authorization Pop Up for admin","Yönetici için yetkilendirme popup sayfası anahtarı onayla"
"Confirm token authorization for admin","Yönetim için doğrulama işaretini onaylayın"
"Confirmation Of Authorization","Yetki Doğrulama"
"Consumer Information","Alıcı Bilgisi"
"Consumer Name","Alıcı Adı"
"Consumers","Alıcılar"
"Created At","Oluşturulduğu Tarih"
"Customer","Müşteri"
"Customer My Account My OAuth Applications","Müşteri Hesabım Oauth Uygulamalarım"
"Delete","Sil"
"Disable","İptal et"
"Disabled","Kapalı"
"Edit","Düzenle"
"Edit Consumer","Alıcıyı Düzenle"
"Email","E-posta"
"Email Address","E-posta Adresiniz"
"Enable","Aktif et"
"Enabled","Aktif edildi"
"Entry with ID #%s not found.","#%s nolu giriş bulunamadı."
"Expiration Period","Bitiş"
"Give the verifier code to application administrator","Uygulama yöneticisine onaylama kodu ver"
"ID","No"
"Invalid Callback URL","Hatalı Geri Çağırım URL"
"Invalid ID parameter.","Hatalı ID parametresi"
"Invalid Rejected Callback URL","Geçersiz Reddedilmiş Geri İşlem URL"
"Invalid entry ID.","Hatalı kayıt ID."
"Invalid revoke status.","Durumu geri alma geçersiz."
"Key","Anahtar"
"Log In","Giriş"
"Log in as a customer","Müşteri olarak oturum aç"
"Log in as admin","Yönetici olarak Giriş Yap"
"Log in as customer","Müşteri olarak Giriş Yap"
"Log in to use <strong>%s</strong>","<strong>%s</strong> kullanmak için giriş yapınız"
"Login","Login"
"My Applications","Uygulamalarım"
"Name","Adı"
"New Consumer","Yeni Alıcı"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Yönetici Uygulamalarım"
"OAuth Authorized Tokens","OAuth Onaylanan Anahtarlar"
"OAuth Consumers","OAuth Alıcıları"
"OAuth authorization Pop Up for customer","Müşteri için Oauth Yetkilendirme Popup"
"OAuth authorization for admin","Yönetim için OAuth kimlik onayı"
"OAuth authorization for customer","Müşteri için Oauth Yetkilendirme"
"OAuth authorization simple for admin","Yönetim için basit OAuth kimlik onayı"
"Password","Şifre"
"Permissions","Yetkiler"
"Please login to proceed authorization.","Yetkilendirme için lütfen giriş yapınız."
"Please select needed row(s).","Lütfen gereken satır(lar)ı seçiniz."
"Please select revoke status.","Lütfen geri alınacak durumu seçiniz."
"REST - My Apps","REST - Uygulamalarım"
"REST - OAuth Authorized Tokens","REST - OAuth Onaylanmış Anahtarlar"
"REST - OAuth Consumers","REST - OAuth Alıcıları"
"Reject","Reddet"
"Reject OAuth token authorization","OAuth anahtar yetkilendirmesini reddet"
"Reject authorization","Yetkiyi Reddet"
"Reject token authorization Pop Up for admin","Yönetim için kimlik onay penceresini reddet"
"Reject token authorization for admin","Yönetim için kimlik onayını reddet"
"Rejected Callback URL","Reddedilmiş Geri İşlem URL"
"Rejection Of Authorization","Kimlik onayının Reddi"
"Revoked","Geri alındı"
"Role Name","Yetki Sınıfı Adı"
"Save","Kaydet"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Secret","Gizli Kelime"
"Selected entries enabled.","Seçilen girişler aktif edildi."
"Selected entries has been deleted.","Seçilen girişler silindi."
"Selected entries revoked.","Seçilen girişler geri alındı."
"Status","Durum"
"System","Sistem"
"The application access request is rejected.","Uygulama giriş talebi reddedildi."
"The consumer has been deleted.","Alıcı silindi."
"The consumer has been saved.","Alıcı kaydedildi."
"Token Status Change","Anahtar Durum Değişimi"
"Token Status Change Email Template","Anahtar Durum Değişimi E-posta Şablonu"
"Unable to find a consumer.","Herhangi bir alıcı bulunamadı."
"User ID","Kullanıcı ID"
"User Name","Kullanıcı Adı"
"User Type","Kullanıcı Tipi"
"Verifier code: %s","Doğrulama kodu: %s"
"You have no applications.","Herhangi bir uygulamanız bulunamadı."
"deleted","silindi"
"enabled","Aktif edildi"
"revoked","Geri alındı"
